   66    0.17086E+04    0.25964E+00   -0.39330E+01    0.59240E+07    0.10817E+05
   67    0.17315E+04    0.27130E+00   -0.43136E+01    0.58969E+07    0.10606E+05
   68    0.17546E+04    0.28322E+00   -0.47055E+01    0.58694E+07    0.10401E+05
   69    0.17780E+04    0.29541E+00   -0.51088E+01    0.58417E+07    0.10204E+05
   70    0.18016E+04    0.30784E+00   -0.55234E+01    0.58137E+07    0.10016E+05
   71    0.18255E+04    0.32052E+00   -0.59492E+01    0.57855E+07    0.98371E+04
   72    0.18496E+04    0.33343E+00   -0.63862E+01    0.57572E+07    0.96680E+04
   73    0.18739E+04    0.34657E+00   -0.68344E+01    0.57286E+07    0.95071E+04
   74    0.18985E+04    0.35992E+00   -0.72937E+01    0.56999E+07    0.93536E+04
   75    0.19233E+04    0.37347E+00   -0.77639E+01    0.56710E+07    0.92064E+04
   76    0.19483E+04    0.38720E+00   -0.82451E+01    0.56420E+07    0.90646E+04
   77    0.19736E+04    0.40111E+00   -0.87372E+01    0.56129E+07    0.89274E+04
   78    0.19991E+04    0.41518E+00   -0.92402E+01    0.55837E+07    0.87936E+04
   79    0.20249E+04    0.42941E+00   -0.97539E+01    0.55543E+07    0.86624E+04
   80    0.20508E+04    0.44377E+00   -0.10278E+02    0.55249E+07    0.85329E+04
   81    0.20770E+04    0.45826E+00   -0.10813E+02    0.54954E+07    0.84042E+04
   82    0.21035E+04    0.47285E+00   -0.11359E+02    0.54659E+07    0.82763E+04
   83    0.21301E+04    0.48755E+00   -0.11913E+02    0.54363E+07    0.81494E+04
   84    0.21570E+04    0.50232E+00   -0.12477E+02    0.54066E+07    0.80237E+04
   85    0.21842E+04    0.51716E+00   -0.13049E+02    0.53770E+07    0.78992E+04
   86    0.22115E+04    0.53204E+00   -0.13628E+02    0.53473E+07    0.77761E+04
   87    0.22392E+04    0.54696E+00   -0.14215E+02    0.53177E+07    0.76547E+04
   88    0.22670E+04    0.56189E+00   -0.14808E+02    0.52881E+07    0.75350E+04
   89    0.22951E+04    0.57682E+00   -0.15408E+02    0.52585E+07    0.74171E+04
   90    0.23235E+04    0.59174E+00   -0.16013E+02    0.52290E+07    0.73013E+04
   91    0.23521E+04    0.60663E+00   -0.16623E+02    0.51996E+07    0.71877E+04
   92    0.23810E+04    0.62147E+00   -0.17237E+02    0.51702E+07    0.70762E+04
   93    0.24101E+04    0.63626E+00   -0.17855E+02    0.51409E+07    0.69669E+04
   94    0.24394E+04    0.65098E+00   -0.18477E+02    0.51117E+07    0.68596E+04
   95    0.24690E+04    0.66563E+00   -0.19102E+02    0.50826E+07    0.67544E+04
   96    0.24988E+04    0.68018E+00   -0.19730E+02    0.50535E+07    0.66512E+04
   97    0.25288E+04    0.69464E+00   -0.20359E+02    0.50246E+07    0.65500E+04
   98    0.25591E+04    0.70898E+00   -0.20991E+02    0.49957E+07    0.64508E+04
   99    0.25896E+04    0.72320E+00   -0.21624E+02    0.49670E+07    0.63534E+04
  100    0.26202E+04    0.73728E+00   -0.22258E+02    0.49384E+07    0.62580E+04
  101    0.26511E+04    0.75121E+00   -0.22892E+02    0.49098E+07    0.61643E+04
  102    0.26822E+04    0.76498E+00   -0.23527E+02    0.48814E+07    0.60725E+04
  103    0.27135E+04    0.77859E+00   -0.24161E+02    0.48531E+07    0.59825E+04
  104    0.27450E+04    0.79200E+00   -0.24794E+02    0.48249E+07    0.58942E+04
  105    0.27766E+04    0.80523E+00   -0.25426E+02    0.47969E+07    0.58076E+04
  106    0.28085E+04    0.81825E+00   -0.26057E+02    0.47690E+07    0.57227E+04
  107    0.28405E+04    0.83105E+00   -0.26685E+02    0.47412E+07    0.56395E+04
  108    0.28727E+04    0.84362E+00   -0.27310E+02    0.47136E+07    0.55578E+04
  109    0.29051E+04    0.85595E+00   -0.27933E+02    0.46861E+07    0.54777E+04
  110    0.29376E+04    0.86803E+00   -0.28552E+02    0.46587E+07    0.53991E+04
  111    0.29703E+04    0.87984E+00   -0.29167E+02    0.46315E+07    0.53220E+04
  112    0.30032E+04    0.89138E+00   -0.29778E+02    0.46045E+07    0.52464E+04
  113    0.30362E+04    0.90263E+00   -0.30383E+02    0.45776E+07    0.51723E+04
  114    0.30693E+04    0.91358E+00   -0.30983E+02    0.45509E+07    0.50996E+04
  115    0.31026E+04    0.92423E+00   -0.31577E+02    0.45243E+07    0.50282E+04
  116    0.31360E+04    0.93455E+00   -0.32164E+02    0.44979E+07    0.49582E+04
  117    0.31695E+04    0.94455E+00   -0.32743E+02    0.44716E+07    0.48896E+04
  118    0.32032E+04    0.95420E+00   -0.33315E+02    0.44455E+07    0.48223E+04
  119    0.32369E+04    0.96350E+00   -0.33878E+02    0.44196E+07    0.47562E+04
  120    0.32707E+04    0.97244E+00   -0.34432E+02    0.43938E+07    0.46915E+04
  121    0.33047E+04    0.98101E+00   -0.34976E+02    0.43682E+07    0.46279E+04
  122    0.33387E+04    0.98919E+00   -0.35510E+02    0.43427E+07    0.45656E+04
  123    0.33727E+04    0.99697E+00   -0.36034E+02    0.43175E+07    0.45044E+04
  124    0.34069E+04    0.10043E+01   -0.36545E+02    0.42923E+07    0.44444E+04
  125    0.34411E+04    0.10113E+01   -0.37045E+02    0.42674E+07    0.43855E+04
  126    0.34753E+04    0.10178E+01   -0.37532E+02    0.42426E+07    0.43277E+04
  127    0.35096E+04    0.10239E+01   -0.38006E+02    0.42180E+07    0.42710E+04
  128    0.35440E+04    0.10296E+01   -0.38467E+02    0.41936E+07    0.42154E+04
  129    0.35783E+04    0.10347E+01   -0.38913E+02    0.41693E+07    0.41607E+04
  130    0.36127E+04    0.10394E+01   -0.39344E+02    0.41452E+07    0.41071E+04
  131    0.36471E+04    0.10437E+01   -0.39760E+02    0.41213E+07    0.40544E+04
  132    0.36816E+04    0.10474E+01   -0.40159E+02    0.40975E+07    0.40027E+04
  133    0.37160E+04    0.10507E+01   -0.40543E+02    0.40739E+07    0.39519E+04
  134    0.37504E+04    0.10534E+01   -0.40909E+02    0.40505E+07    0.39020E+04
  135    0.37847E+04    0.10558E+01   -0.41259E+02    0.40273E+07    0.38529E+04
  136    0.38191E+04    0.10576E+01   -0.41590E+02    0.40042E+07    0.38047E+04
  137    0.38533E+04    0.10589E+01   -0.41904E+02    0.39813E+07    0.37574E+04
  138    0.38876E+04    0.10598E+01   -0.42198E+02    0.39586E+07    0.37109E+04
  139    0.39217E+04    0.10602E+01   -0.42474E+02    0.39360E+07    0.36651E+04
  140    0.39558E+04    0.10602E+01   -0.42730E+02    0.39136E+07    0.36201E+04
  141    0.39897E+04    0.10597E+01   -0.42966E+02    0.38914E+07    0.35759E+04
  142    0.40236E+04    0.10587E+01   -0.43182E+02    0.38693E+07    0.35324E+04
