   81    0.20792E+04    0.46023E+00    0.22214E-02   -0.10813E+02
   82    0.21056E+04    0.47487E+00    0.22769E-02   -0.11358E+02
   83    0.21323E+04    0.48961E+00    0.23332E-02   -0.11912E+02
   84    0.21593E+04    0.50442E+00    0.23902E-02   -0.12475E+02
   85    0.21864E+04    0.51929E+00    0.24478E-02   -0.13047E+02
   86    0.22138E+04    0.53422E+00    0.25062E-02   -0.13626E+02
   87    0.22415E+04    0.54918E+00    0.25653E-02   -0.14212E+02
   88    0.22694E+04    0.56415E+00    0.26252E-02   -0.14805E+02
   89    0.22975E+04    0.57912E+00    0.26857E-02   -0.15403E+02
   90    0.23259E+04    0.59408E+00    0.27470E-02   -0.16007E+02
   91    0.23545E+04    0.60901E+00    0.28090E-02   -0.16616E+02
   92    0.23834E+04    0.62389E+00    0.28717E-02   -0.17230E+02
   93    0.24126E+04    0.63872E+00    0.29352E-02   -0.17847E+02
   94    0.24419E+04    0.65349E+00    0.29994E-02   -0.18468E+02
   95    0.24715E+04    0.66817E+00    0.30643E-02   -0.19092E+02
   96    0.25013E+04    0.68277E+00    0.31300E-02   -0.19718E+02
   97    0.25314E+04    0.69727E+00    0.31965E-02   -0.20347E+02
   98    0.25617E+04    0.71165E+00    0.32637E-02   -0.20978E+02
   99    0.25921E+04    0.72591E+00    0.33316E-02   -0.21609E+02
  100    0.26228E+04    0.74004E+00    0.34003E-02   -0.22242E+02
  101    0.26537E+04    0.75401E+00    0.34698E-02   -0.22875E+02
  102    0.26848E+04    0.76783E+00    0.35401E-02   -0.23508E+02
  103    0.27161E+04    0.78148E+00    0.36112E-02   -0.24141E+02
  104    0.27476E+04    0.79494E+00    0.36830E-02   -0.24773E+02
  105    0.27793E+04    0.80821E+00    0.37556E-02   -0.25403E+02
  106    0.28111E+04    0.82128E+00    0.38290E-02   -0.26032E+02
  107    0.28432E+04    0.83413E+00    0.39032E-02   -0.26658E+02
  108    0.28754E+04    0.84674E+00    0.39783E-02   -0.27282E+02
  109    0.29078E+04    0.85912E+00    0.40541E-02   -0.27903E+02
  110    0.29403E+04    0.87125E+00    0.41307E-02   -0.28520E+02
  111    0.29730E+04    0.88311E+00    0.42082E-02   -0.29133E+02
  112    0.30058E+04    0.89470E+00    0.42865E-02   -0.29742E+02
  113    0.30388E+04    0.90600E+00    0.43657E-02   -0.30346E+02
  114    0.30720E+04    0.91701E+00    0.44456E-02   -0.30943E+02
  115    0.31052E+04    0.92771E+00    0.45265E-02   -0.31535E+02
  116    0.31386E+04    0.93809E+00    0.46081E-02   -0.32120E+02
  117    0.31721E+04    0.94814E+00    0.46907E-02   -0.32697E+02
  118    0.32057E+04    0.95786E+00    0.47741E-02   -0.33267E+02
  119    0.32395E+04    0.96722E+00    0.48584E-02   -0.33827E+02
  120    0.32733E+04    0.97622E+00    0.49436E-02   -0.34379E+02
  121    0.33072E+04    0.98485E+00    0.50296E-02   -0.34921E+02
  122    0.33411E+04    0.99309E+00    0.51166E-02   -0.35452E+02
  123    0.33752E+04    0.10009E+01    0.52044E-02   -0.35973E+02
  124    0.34093E+04    0.10084E+01    0.52932E-02   -0.36482E+02
  125    0.34435E+04    0.10154E+01    0.53828E-02   -0.36979E+02
  126    0.34777E+04    0.10220E+01    0.54734E-02   -0.37464E+02
  127    0.35120E+04    0.10282E+01    0.55650E-02   -0.37935E+02
  128    0.35463E+04    0.10339E+01    0.56574E-02   -0.38393E+02
  129    0.35806E+04    0.10392E+01    0.57508E-02   -0.38836E+02
  130    0.36150E+04    0.10439E+01    0.58451E-02   -0.39264E+02
  131    0.36493E+04    0.10482E+01    0.59404E-02   -0.39677E+02
  132    0.36837E+04    0.10521E+01    0.60367E-02   -0.40074E+02
  133    0.37181E+04    0.10554E+01    0.61339E-02   -0.40454E+02
  134    0.37524E+04    0.10583E+01    0.62321E-02   -0.40818E+02
  135    0.37867E+04    0.10607E+01    0.63313E-02   -0.41164E+02
  136    0.38210E+04    0.10626E+01    0.64314E-02   -0.41493E+02
